sNo,nameOfTheShow,imdbRating,ageOfViewers,language,genre,noOfSeasonsAvailable,yearOfRelease,madeInCountry
76,"Family Man, The",9,11,Dutch,Comedy|Drama|Romance,8,2012,Canada
77,High School,1,18,Malagasy,Comedy,4,2012,Russia
78,Twist,8,14,Bosnian,Drama,3,2010,Russia
79,Captain EO,10,10,Finnish,Adventure|Children|Comedy|Musical|Sci-Fi,2,1992,Japan
80,Veronika Decides to Die,9,12,Gujarati,Drama|Romance,5,2007,Russia
81,Broken Sky (El cielo dividido),9,18,Italian,Drama,10,2007,United States
82,Cowboy del Amor,7,16,Moldovan,Documentary,6,1986,Russia
83,Dolls,7,18,Latvian,Horror,4,1984,Russia
84,Heavens Fall,6,17,Haitian Creole,Drama,1,2012,Russia
85,Karan Arjun,1,16,Azeri,Drama,2,2005,Russia
86,Everlasting Moments (Maria Larssons eviga ögonblick),10,12,Malagasy,Drama,10,1996,Russia
87,Still Breathing,2,11,Punjabi,Comedy|Romance,8,1993,Russia
88,"Desert of Forbidden Art, The",7,10,Marathi,Adventure|Documentary|Drama|War,5,2006,Germany
89,"Forbidden Christ, The (Cristo proibito, Il)",2,14,Kurdish,Drama,2,2010,Russia
90,Red Cliff (Chi bi),9,18,Tsonga,Action|Adventure|Drama|War,10,2001,Russia
91,"Ron Clark Story, The",9,11,Azeri,Drama,3,1993,Russia
92,Serenity,10,15,Bosnian,Action|Adventure|Sci-Fi,2,2007,United States
93,Dunston Checks In,1,18,Sotho,Children|Comedy,8,2007,Taiwan
94,"Jacket, The",10,12,Chinese,Drama|Mystery|Sci-Fi|Thriller,4,2007,Japan
95,"Summer Wishes, Winter Dreams",6,13,Mongolian,Drama,8,2007,United States
96,"Frankenstein Syndrome, The",7,15,Finnish,Horror|Sci-Fi,3,1992,Canada
97,Satan Met a Lady,3,16,Croatian,Comedy|Drama|Mystery,6,2010,Russia
98,Link,1,14,Hindi,Horror|Thriller,3,2004,Canada
99,As Far As My Feet Will Carry Me (So weit die Füße tragen),4,18,Burmese,Drama|War,8,2012,United States
100,Heaven's Burning,6,17,Hungarian,Action|Drama,8,2008,Canada
101,"Brother's Kiss, A",2,16,Icelandic,Drama,4,2002,United States
