sNo,nameOfTheShow,imdbRating,ageOfViewers,language,genre,noOfSeasonsAvailable,yearOfRelease,madeInCountry,updateTime
1,Madison Avenue,9,10,Swedish,Drama,8,2001,United States,2017-05-25 17:39:49.554808-05
2,Sherlock Holmes: The Woman in Green,9,10,Kashmiri,Mystery,2,2000,Canada,2017-08-14 17:39:49.554808-05
3,Loose Change: Second Edition,10,10,Norwegian,Documentary|Mystery,7,1969,United States,2018-02-26 19:39:49.554808-05
4,Prom Night III: The Last Kiss,2,11,Persian,Horror,6,1987,Russia,2018-06-01 17:39:49.554808-05
5,Swann in Love (Un amour de Swann),7,11,Hungarian,Drama,4,1988,Japan,2018-12-24 19:39:49.554808-05
6,Comic Book: The Movie,8,13,Hiri Motu,Comedy,2,1965,Japan,2018-12-29 23:39:49.554808-05
7,"Naked Gun: From the Files of Police Squad!, The",5,16,Georgian,Action|Comedy|Crime|Romance,10,1990,United States,2019-03-05 01:39:49.554808-05
8,Dante's Peak,10,12,Malagasy,Action|Thriller,5,2011,Japan,2019-05-25 17:39:49.554808-05
9,Frankenstein and the Monster from Hell,3,17,Azeri,Horror,6,2008,Canada,2019-09-09 16:39:49.554808-05
10,"Cross of Lorraine, The",2,16,Maltese,Drama|War,6,2008,Germany,2020-02-12 09:39:49.554808-05
11,"Protector, The",2,18,Kazakh,Action|Comedy|Drama|Thriller,2,1986,United States,2020-05-25 17:39:49.554808-05
12,Daisy Kenyon,10,10,New Zealand Sign Language,Drama|Romance,5,2004,Japan,2020-07-07 17:39:49.554808-05
13,Strip Nude for Your Killer (Nude per l'assassino),3,13,Tajik,Horror|Mystery|Thriller,3,2004,United States,2021-05-25 17:39:49.554808-05
14,Signs,10,13,Czech,Horror|Sci-Fi|Thriller,1,1960,Germany,2021-06-06 17:39:49.554808-05
15,Wedding Crashers,5,14,Georgian,Comedy|Romance,6,1993,United States,2021-07-01 01:39:49.554808-05
16,I Stand Alone (Seul contre tous),2,10,Yiddish,Drama|Thriller,4,2009,Japan,2021-08-21 15:39:49.554808-05
17,"Reeds, The",5,14,Moldovan,Action|Horror|Thriller,3,1993,Russia,2022-04-25 17:39:49.554808-05
18,Lucrèce Borgia,9,12,Macedonian,(no genres listed),10,1986,Russia,2022-05-22 17:39:49.554808-05
19,Thoroughbreds Don't Cry,10,10,Persian,Comedy|Drama,8,1984,United States,2022-06-01 13:39:49.554808-05
20,Touch the Sound: A Sound Journey with Evelyn Glennie,6,13,Norwegian,Documentary,4,2006,Canada,2023-01-25 17:39:49.554808-05
21,Forty Shades of Blue,8,12,Hungarian,Drama,8,2003,Canada,1999-02-25 17:39:49.554808-05
